From Date,CO,Ozone
29-07-2020 00:00,0.51,34.77
29-07-2020 08:00,0.57,40.17
29-07-2020 16:00,0.7,43.3
30-07-2020 00:00,0.54,27.48
30-07-2020 08:00,0.38,30.1
30-07-2020 16:00,0.53,45.67
31-07-2020 00:00,0.33,25.23
31-07-2020 08:00,0.49,32.49
31-07-2020 16:00,0.67,41.15
01-08-2020 0:00,0.72,28.32
01-08-2020 8:00,0.63,33.67
01-08-2020 16:00,0.52,38.69
02-08-2020 0:00,0.52,27.04
02-08-2020 8:00,0.53,37.46
02-08-2020 16:00,0.53,44.82
03-08-2020 0:00,0.52,44.38
03-08-2020 8:00,0.48,45.71
03-08-2020 16:00,0.51,39.97
04-08-2020 0:00,0.38,27.16
04-08-2020 8:00,0.35,25.42
04-08-2020 16:00,0.37,27.04
05-08-2020 0:00,0.36,17.76
05-08-2020 8:00,0.41,22.87
05-08-2020 16:00,0.47,34.49
06-08-2020 0:00,0.46,24.27
06-08-2020 8:00,0.47,32.61
06-08-2020 16:00,0.45,40.89
07-08-2020 0:00,0.46,29.61
07-08-2020 8:00,0.46,36.4
07-08-2020 16:00,0.45,41.18
08-08-2020 0:00,0.43,39.99
08-08-2020 8:00,0.37,36.1
08-08-2020 16:00,0.35,33.45
09-08-2020 0:00,0.36,26.36
09-08-2020 8:00,0.39,28.83
09-08-2020 16:00,0.47,35.36
10-08-2020 0:00,0.25,24.14
10-08-2020 8:00,0.25,23.49
10-08-2020 16:00,1.35,32.35
11-08-2020 0:00,0.46,25.99
11-08-2020 8:00,1.53,32.86
11-08-2020 16:00,0.53,38.74
12-08-2020 0:00,0.2,27.62
12-08-2020 8:00,0.34,33.04
12-08-2020 16:00,0.42,32.88
13-08-2020 00:00,0.32,26.97
13-08-2020 08:00,0.46,30.67
13-08-2020 16:00,0.28,34.58
14-08-2020 00:00,0.43,24.62
14-08-2020 08:00,0.58,31.64
14-08-2020 16:00,0.38,34.33
15-08-2020 00:00,0.3,24.66
15-08-2020 08:00,0.68,25.44
15-08-2020 16:00,0.48,24.71
16-08-2020 00:00,0.32,26.11
16-08-2020 08:00,0.24,25.54
